country_code,boomerangs1,boomerangs2,boomerangs3,boomerangs4,boomerangs5,boomerangs6,boomerangs7,boomerangs8,boomerangs9,boomerangs10,boomerangs11,boomerangs12
AT,10968,4276,8206,7456,5169,11835,12063,12554,19626,721,103,86
AU,7300,6851,4744,2480,11149,2809,1482,244,214,195,0,0
CA,27871,29977,34151,31418,49611,54414,48884,41305,26288,3729,3007,74649
CO,39,42,56,44,7,475,0,0,0,0,0,0
CY,343,84,683,65,406,588,110,27,93,81,76,67
DE,4569,4522,6716,5842,6072,19064,443,1102,1059,797,902,248
EU,50,52,69,57,22,31,72,9318,6,0,0,3
GB,155454,146684,160609,161889,103698,255464,155513,9313,8748,5345,401,58
GH,90,42,74,54,1408,169,239,354,307,234,63,0
GR,1057,922,902,470,35,339,31,0,0,0,0,0
IE,3761,4757,4996,4603,3225,13937,9297,3043,1356,1036,0,0
IT,40729,31998,35282,35211,30222,105112,28668,1453,0,0,0,0
JP,1892,745,663,482,1699,8885,931,24,23,12,242,448
KE,35,131,92,93,205,161,44,17,12,14,3,2
MG,0,0,0,0,0,1,3,2,1,0,0,0
NG,115,110,129,79,95,130,0,0,0,0,0,0
NL,112103,86668,98004,100013,92080,193647,125614,160862,104838,0,0,0
NO,98,84,45,54,46,1392,745,1849,2104,0,0,0
NZ,922,695,757,387,475,770,699,582,15834,35830,10079,8462
PH,9769,9916,12081,13984,14630,57547,22825,0,0,0,0,2
RO,1726,215,257,452,552,807,584,413,185,287,43,24
RS,250,110,70,166,2880,454,168,16,2,0,4,1
SG,1912,1796,2332,4233,11182,8036,7,6,6,6,7,3
SI,4,5,4,2,2,575,0,0,0,0,0,0
TH,57,94,115,105,443,10096,11997,14,6,8,4,4
TN,828,719,412,508,1415,8409,525,1008,137,20,3,9
TW,47,45,77,12,20,372,366,0,0,0,0,0
US,733315,661065,760392,709533,848867,1858945,1744317,1474505,927262,567537,531647,463805
ZA,59,37,115,64,175,7628,5267,1374,274,0,0,0
